text,label
"ینفر همه زندیگشو ورزش شامل میشده، اوایله بیست‌و‌چند‌سالگیش پی ببره جایی تویه دنیایه ورزش نداره؛ درصورتیکه تمام هم دوره‌ای‌هاش تا فیها خالدون ورزشو پیش رفتن! هیچی دیگه، اونجاس که علاقمند به رنگه خاکستری میشه.",neg
حق میدم درک نکنی ما خوشگلا و جذابا با نشون دادن خودمون باعث میشیم به مشکل بر بخوریم ازدیاد خواستگار ... فکر کنم ریا شد...,pos
بعد از ۴۰ سال حکومت و ترویج جهل در مملکت چه خوب است که زیاد به درست بودن افکار و عقاید خود اطمینان نداشته باشیم و گوشی شنوا برای شنیدن انتقادهای درست داشته باشیم باهم بحث کنیم و سریع همدیگر را متهم نکنیم کمی بیشتر بیندیشیم و فرهنگ پذیرفتن اشتباه را جا بندازیم #Rezapahlavi,neg
حجاب خانم معتمد اريا هم البته يكي ديگه از سقوف (درسته؟) مطالبات اصلاح طلب هاست. اينكه جلوي رييس جمهور اوكي باشه ٤ تا شاخ موت معلوم باشه و كسي به ايشون تذكر نده.,neg
مطمئن باشیم دراکولا نیستی؟,neg
"چقدر خوش رنگ و لعاب و هوس برانگیز اند، به شدت حق داشتی و داری،‌من جزو اونام که یک دونه از اینا بخورم یک کیلو چاق میشم",pos
با لحن «موقت له» بخوانید: حالا. عده ای هم انتظار محاکمه ی حاج #سعیدطوسی را دارند. نخیر. ایشان از افراد محبوب دربار هستند. اتفاقا مجتبای ما به او بسیار دلبسته است. خجالت بکشید. #بیحیاها #بی_شرف #من_براندازم #براندازیم #سرنگونی #رفراندوم #باید_خون_گریست #خی,neg
وقتی شما یه اتفاق خیلی بد براتون میوفته چهار مرحله سپری میکنید ۱-شوک و انکار ۲-خشم و اندوه ۳- سوگواری ۴-پذیرش و تطبیق,neg
الان خیلی نزدیکیاااااا یا پنش تن تو سگ سانان و گربه سانان فقط از بچه گربه نمی‌ترسم خیلی دل و جرات داری وژدانن,neg
منکه خوندم ....کلیدرو سه بار خوندم .... گل محمد زیربار زور نرفت ولی خالق گل محمد در پیری محافظه کار شده !!!,neg
لعنتیِ خوشبخت,pos
مردم #وحشی شدن,neg
من جای شما بودم دستی که به من غذا داده را گاز نمی گرفتم و آدمی را که به گفته خودتان چندین بار کارتان برای آزاد شدن از زندان را پی گیری کرد دیوانه خطاب نمی کردم. کوه به کوه نمی رسد ولی آدم ها بازهم به هم می رسند.,neg
"فرصت اعتصاب های پیش آمده را نباید از دست بدهیم، این فرصت طلایی را باید دو دستی چسبید و رها نکرد. بعد از #بانه ، #جلفا وبعداز جلفاگویا در بازار طلای مشهد هم اتفاقاتی افتاده است(خبر موثق ندارم) ما باید با حمایت از هر اعتصابی، دیگران را نیز تشویق و دلگرم به پیوستن به اعتصاب کنیم",pos
"کارما دیگه از اینکه بشین ی گوشه غصه بخور و و اینور اونور چسناله کن گذشته ! مادیگه رگ گردنمون میزنه بیرون , فحش میدیم و یقه میگیریم !! #وحشی",neg
"حرکت #دختران_خیابان_انقلاب بمراتب هنجارشکنانه تر از نشون داده عکس ممه تو صفحه شخصه تو یه شبکه اجتماعی برای رفقاست، واقعا حق میدم به مردم عادی و ارزشی ها که به #دختران_خیابان_انقلاب بگن #جنده",neg
نه میشناسمت نه تاحالا توییتهات رو خوندم اما بهت افتخار میکنم! تو برنده‌ای و خوشبخت !,pos
"قضاوتت نمیکنم،ماسک روشنفکری قشنگه،مراقب باش نزنی به صورتت چون ماسکش خیلی ارزونه و چیپه.یکم فکر کن فقط #نرینی",neg
"توصیه می کنم حتما برای اون آلبوم شخصی، برای هر عکس، چمد خطی از حال و هوای اون عکس بنویسی و لوکیشن بذاری بعدا که کپشنتو میخونی کلی حس خوب خواهی داشت",pos
"هیچ رضایتی از سیستم فعلی توی کشور وجود نداره، فقط مشکل مردم ترس از عدم موفقیته، راه پیروزی باور داشتن و اتحاده اتحاد و اتحاد و اتحاد هدف یکیه، حذف جمهوری اسلامی #IranStrikes",pos
بدخواهات پیش مرگت بشن کل نسلشون فدای خنده هات,pos
نظر سنجي گذاشتن طرفدار كدوم تيم تو جام جهاني هستيد اومده ميگه ايتاليا نبود به خاطر تو به بلژيك راي دادم شما بودين عاشقش نمي شدين ؟ *__*,pos
توجه به زندگی این مردم محروم هم بعنوان آحادی از مردم ایران حق آنهاست و هم خداوند را خشنود میکند. از ددست دادن فرصت برای کمک به مردم محروم باعث پشیمانی است. https:// twitter.com/manotonews/sta tus/998199041115779072 …,neg
ناتانی به پشت گرمی آمریکا درست لحظاتی بعدازخروج آمریکا ازبرجام به سوریه حمله کرده واین قصه سر دراز دارد...,neg
سوال دیگری که پیش میآید آنها دقیقا درمدارس ما چه چیزی را می خواهندآموزش دهندکه اکنون ما آن را آموزش نمی دهیم؟اگر فقط خودمراقبتی است اوکی خودمان اجرایش می کنیم بدون پذیرفتن این سندولی بدون شک فقط این نیست.منتظر پاسختون می مونم فقط من زیاد توئیتر نمیام ممکنه طول بکشه منم جوابی بدم,neg
یه اکانت دیگه دارم اونجا #ارزشی ام اینجااگه بد گفتم با خود #ارزشی مم بودم دوستدار دکترم ولی جانم فدای #نظام_مقدس_جمهوری_اسلامی و مستضعفین,pos
"""باغت آباد است حق داری که شال سر کنی سیب صورت",pos
"عزیز من، من طرفدار کیروش نیستم، و میره بعد از جام، ولی برانکو امتحان پس داده سال ۲۰۰۶.",pos
"من در آن موقع این حرفش را جدی نگرفتم؛ ولی صبح فردا که مصطفی برای خداحافظی نزد من آمد، تازه به یاد حرف دیروزش افتادم. مصطفی از من خداحافظی کرد و رفت که به خودروی ستاد سوار شود. من هم سراسیمه به طبقه بالای ساختمان رفتم تا اسلحه کلت خودم را بردارم! #شهید",med
هواخواه توام جانا و می‌دانم که می‌دانی که هم نادیده می‌بینی و هم ننوشته میخوانی . #حافظ,pos
دلم خوش است به زیارتت ای حسین.دلم خوش است به بستن سر بند یا مهدی در کربلا در روز اربعین حسینی.مرا هم بطلب یا حسین. #اربعین #حسین #دلخوشی #زیارت #کربلا,pos
چقدر دوستدار داریم,pos
همون ۲ ۳ نفری ام ک هنوز تو جو اینن ک من دانشجو ام باید عرض کنم ک خیر :)) بله دوست عزیز من همچنان شبا برنامه حاضر میکنم و صبح ساعت ۶ لباس فرم میپوشم و شادم هستم و مشکلی ام با سنم ندارم :),pos
"شهبانوی هنر دوست و هنرمند ایران، در سوگ از دست رفتن هنرمندی که نادیده گرفتنش تا مردم رو به یادِ روزگارِ لوتی و لوتی گری، روزگارِ مرام و مردونگی، روزگارِ خوشِ قیصر و فردینش نیندازد.. شهبانو هنرمند واقعیِ ایران تو بودی، و هستی هنر ایران مدیون توست. pic.twitter.com/GWhA9oaBLl",pos
من هراز گاهی یه چشمک های ناخواسته ای میزنم که از خجالت دوست دارم بمیرم,neg
ننگ بر تز دکتری,neg
#هرکه_تورا_دوست_دارد_به_تخممم,neg
"بابا اعتماد به سقف، #توهم",neg
امضاء میکنی و رای نمیدی!؟ تف به روت #بی_شرف #دارالمنافقین #شفافیت_آراء_نمایندگان #شفافیت_آراء_مجلس,neg
پشتیبانی و مقاومت برای 31 مه 2018 – به وقت اروپا1 https://www. vinsonfinancials.com/fa/technical-a nalysis/1169421-31-2018-2 …,med
هرچي بيشتر ميگذره بيشتر علاقمند به كردها و فرهنگ و زندگيشون ميشم,pos
"پدرانمون به مراتب ادمای روشن‌فکرتر و شجاعتری بودن، به اعتقادات اجدادشون شک کردن، قدرت تغییر عقیده رو در خودشون دیدن و ادیان مختلف ر‌‌و پذیرفتن . ماها چی؟ تونستیم دینی که پدرانمون بهمون دیکته کردن رو تغییر بدیم؟ عقیده‌مون رو به کرسی بشونیم؟",neg
همينكه شركت كردين دولت و سياستهاي حكومت را تاييد كرديد يادتون باشه كه ملت يادش ميمونه اداي سفير صلح را در نيارين شما حتي از دختران خيابان انقلاب كوچكترين حمايتي نكردين اينقدر هم براي اقاي بهروز وثوقي دام پهن نكنيد كه برگردد اژه اي اب پاكي را ريخت اينا به فعال محيط زيست رحم نكردن,neg
روز اول که دل آفریده شد محکوم به گرفتن شد #دلگیر,neg
حالا که خیط شدی دیوث #ولایتمعاش #مزدور_سایبری #دروغگو,neg
استقلال فقط اونجاش که یکی توی کابینه یک کشوری (شما بخوایند آمریکا) عوض میشه اینجا دلار میره بالا. #توهم #رهبری #حقیر #معظم_له #برانداریم #براندازم #دشمن_ما_همینجاست,neg
#❤,pos
"یه بار پارسال خوردم،خیلی بدمزه بود",neg
خوشا انکه قدردان باشه متاسفانه تو ایران متفاوت باشی به کارت نمیاد حتی اگه ی انگلیسی باشی,neg
چه ساقیه خوش انصافی جنسه بد نمیده دست مردم,pos
"هنوزم ثابت نکرده که واقعا مرد میدان هست مشخصا از بیم اشتباه کردن، از ترس بدنام شدن ایستاده کنار بی هیچ فراخوان مهم یا اکت عملی! چون در بند همان نام است اپوزوسیون خواجه حتی در حد چپ اصلاح طلب خائن به مردم هم نمیتونه قابل اعتماد باشه",neg
به مناسبت سال سگ. دوتا سگ در زندگی من اهمیت داشتن . اولی شیلا بود که دوست دوران کودکی بود و جنگ ما رو از هم جدا کرد. دومی میلو سگ تن تن بود که از همان دوران پایه گذار تخیل بی حساب و کتاب و بی پایان زندگی من شد. یادشان گرامی . pic.twitter.com/8xKUyxNH4T,pos
خاک برسرت که حقت رو مثل یه تیکه نون خشک انداحتن جلوت. و تو داری واسه اون تیکه نون خشک خودتو جر میدی. و حالا اون نون رو خوردی و وظیفه خبرنگاریت شد هورا کشیدن و زنده باد گفتن برای جنایتکاران ج ا حیفه اسم گربه صفتی ۵ تا سور به گربه زدی. #فیلترشکن,neg
الان چند روزه از هر دیدی نگاه میکنم زندگی خیلی تخمیه میدونی چه کاری دوست داری نمیتونی برس انجامش بدی #زندگی #تخمی,neg
#عطاالله_مهاجراني داره تَو #BBC از مواضع #رهبر درباره #حج امسال دفاع ميكنه خوب معلوم #هزينه #تحصيل #اقازاده ش رو #عربستان پرداخت كرده #خائن,neg
مریم رجوی شوخی بدی بود که خدا با ما کرد! #زنیکه,neg
جام ملتها 2004 سوم شدیم تو 2015حذف شدیم ... تو غرب اسیا با برانکو قهرمان شدیم با کیروش حذف ... تو بازیهای اسیایی هم با برانکو قهرمان شدیم,neg
ایرانی بودن یعنی: کشورت فیلترت کنه خارجی ها تحریمت کنن آخرشم خدا بندازتت جهنم #نسل_سوخته,neg
"میخوام بزنم تو کار تولید فرغون، چندوقت دیگه که ملت میخوان با فرقون پول ببرن نون بخرن پول خوبی به جیب میزنم.",neg
"حالا كه سه دهه اول زندگيم گذشت ، اين روزها بيشتر از هر زمان ديگه اي آرزوم اين كه اي كاش در اين دوره زندگي نمي كردم ، يقه هر كيم از نسل انقلاب مي گيرم ، مي گم :سوزوندين نسل به نسلمونو ، مي گن ما كه انقلاب نكرديم!! #انقلاب #نسل_سوخته #نسل_ما",neg
خوشگله ! توعیتر و پلاس جای اکانت پرایوت نیس برو فیسبوک و اینستا پرایوت کن #بفهم #نفهم,neg
"مشاوره پیش از فروش محصولات پاناسونیک تمامی مشاوره‌ها ارائه شده در فروشگاه مرکزی پاناسونیک، توسط تیم کارشناسی فروش و به تخصصی ترین شکل ممکن ارائه می گردد. از این رو در صورتی که شما کاربران گرامی ، خرید خود را با درنظر داشتن مشاوره های ارائه شده انجام دهید. http:// yon.ir/pAstM",med
شهبانو #گه_نخور,neg
"نادری گرامی ! از شنیدن این که پروسه های استخدام و تعیینات بست های ملی به تدریج بهبود پیدا می کند، خوشحال می شوم. داشتن اداره های سالم و پاسخگو برای تقویت دموکراسی و نهادینه سازی شایسته سالاری ضروری است. به آرزوی پیروزی ها و دستاوردهای بیشتر برای شما و خوصا کمیسیون!",pos
"یک قانون: این حکومت از اونجا که دیکتاتوریه، پس فشارپذیره. هرکجا که روی این آخوندا فشار بذاری، عقب‌نشینی میکنن هرکجا هم که فشار رو از روشون برداری، پیشروی میکنن... نتیجه: در هر کجا، به هر وسیله‌ای، در هر صنفی، و هرچقدر که میتونیم، باید روی این آخوندا فشار رو بیشتر کنیم #براندازم pic.twitter.com/XH3sIcV5nQ",neg
در کشوری که معلمش راه زندگی فردی جامعه را جاده سازی میکند تا مردم دنیایی بهتر برای هم بسازند جایشگاهش قطعا وزارت جامعه ست نه قشر ترد شده #تاسف #اعتصاب_معلمان,neg
بازم دمت گرم برو بخواب تا بیهوش نشدی,pos
"سلام اگر اتفاقی اینو جایی خوندی میخواستم بگم واسه بدبینیم واسه شکاکیم واسه ناارومیام برا دل‌آشوبیام برا احساس بدی داشتنام برا منتظر دروغ شنیدانام برا اون همه تجربه‌ی بدی که گذاشتی تو کوله‌بارم نمیبخشمت ، تاوان تموم شبای غصه‌ای من و باید پس بدی . هستی کینه",neg
درد ما ادمای بی شعور نیس...ادمای پر مدعاس #حیوون زیاد است,neg
گفتند و باور كرديم! از كجا شروع كنيم؟ زهرا كاظمى؟ دوران آقاى روحانى؟ راستى رهبر جنبش سبز كى بود؟ شما داخلى ها را داشته باشيد! خوشا به حال #ناصر !!!,pos
"هیجانات و عواطف درونی او از جوانمردی، احساسات نیک، خوش قلبی، بشر دوستی، وحشت ، غضب، عشق، رنج های غیرقابل توصیف در شلیک خنده ای مجتمع شده بود. قحطی زده می خندد؛ گدا می خندد؛ محکوم به زجر و شکنجه می خندد؛ فاحشه می خندد؛ یتیم می خندد؛ برده می خندد؛ سرباز می خندد؛ همه ی مردم می خندند/ pic.twitter.com/IvbnwUYCDq",pos
"گاهی غمگین میشم از فکری که تو ذهنم میادا ولی همیشه واسه خودم توضیح میدم این فکر به معنای قدردان نبودن از مادرم نیست فقط دلم نمیخواد شبیهش باشم، چقدر خوبه که میبینم آدمای دیگه‌ای هم شبیهم هستن :)",pos
خوشا به شرفش,pos
گفتی امام زمان.یاد ساعت زنگوله دار افتادم. اون مافنگی ترسو الان با آغا سر بساط نشستن. #IranRegimeChange https:// twitter.com/mobarez8515418 3/status/1001095060924973057 …,neg
هواخواه توام جاناومیدانم که میدانی که هم نادیده می بینی وهم ننوشته میخوانی #حافظ,pos
"معلّم شریعتی :« انتظار، ایمان به آینده است و لازمه اش انکار حال. کسی که از حال خشنود است ، منتظر نیست. »",pos
"منظورتون محسن نامجو ست ? بنده هم خبرش رو نشنیده بودم ،لطفا اگر مدرک قابل استنادی از تجاوز اقای اغداشلو و نامجو دارید در همین صفحه ارائه کنید ، ممنون",med
@m.anisi_133 الهی آمین,med
چند سال پيش گشت ارشاد بازداشتش كرد؛ در مسير دكتر بود؛ با نگراني زيادي كه از احتمال ابتلا به سرطان داشت...اسير گشت ارشاد شد...از اون عصر تلخ اين يادداشت بيرون اومد... http:// bidarzani.com/20287 #گشت_ارشاد,neg
"ای کاش شرایط به دوران پیش از #برجام برمی گشت. اگرچه تحریم بودیم، اما حداقل چرخ سانتریفیوژهایمان می چرخید. #خاک_بر_سر",neg
چون به قهرمان و قهرمان بازی علاقه ندارم سعی میکنم به جای بت سازی و اسطوره سازی از تجربیات همه استفاده کنم و ترجیحا تجربیات افراد موفق,med
بله همین درسته :(,pos
"همه ما به صنعت بسته بندی این مرز و بوم مدیونیم، از ویفرهای بازنشوی کودکی تا ماستهای آسان بازنشوی جدید. بیش از نیمی از دایره المعارف فحشهای ایرانی در تقابل با همین بسته بندی ها تکمیل شده. #قدردان _باشیم https:// twitter.com/azoli/status/9 97199813761556480 …",neg
"دلم برای عمه ام تنگ شده وقتی بود ، خیلی خووب بود همه چی خیییلللییی خوب بود #دلتنگم",neg
شما با کسی که باعث جداییتون از بهترین دوستتون( که کراشتونم هست) بشه چیکار میکنید؟ #عصبی,neg
"""گفت‌وگو با آرامش دوستدار در حاشیه نمایشگاه کتاب بدون سانسور کتاب """"زبان و شبه‌زبان، فرهنگ و شبه‌فرهنگ"""" آخرین اثر آرامش دوستدار در سومین نمایشگاه کتاب تهران بدون سانسور در شهر کلن آلمان عرضه شد. این کتاب نقدی است بر زبان رایج در میان جامعه ایرانی. https:// soundcloud.com/dwfarsi/vijrhr 6usk51 …""",med
خانومی که فکر میکنی چون پول داری پس همه کس و همه چیز مطیع و بنده توان باید عرض کنم غلط اضافی میکنی تو پول داری اما ما جای پول شعور و انسانیت داریم که تو فروختیشون به پولای بابات پس به خودت نناز هنوز آدمایی پیدا میشن ک شرف و شخصیت براشون با ارزش تر پولای ب,neg
شادی و سرحالی به این میگن به کوری چشم آخوندا شادباشید کانال فردای تهران @fardaytehran1 pic.twitter.com/71pOC4Jxle,pos
يني آاان بلايي تو دنيا نيست كه مارو تهديد نكنه #زلزله #سيل #طوفان #خشكسالي #جنگ #بحران_اقتصادي #كوفت #زهرمار,neg
آرامش بعد از طوفانی که حاصل اعتماد و علاقه و ارزشه از فراموش نشدنیای زندگیه! #رفاقت #دوستی #علاقه #آرامش,pos
#تاسف #ایران_سوریه #استادیوم_ازادی,neg
من عاشق و سر مست توام . دیوانه یک نگاه جانان توام,pos
"هميشه وقتى يه هلى كوپتر از بالاى سرم رد ميشه،استرس دارم يه تك تيرانداز ميخواد منو بزنه،ناخودآگاه اطراف و چك مى كنم كه پناهگاهى پيدا كنم #ترس",neg
خودت خوب توصیفی واسه خودت اومدی #حقیر #مریض_جنسی,neg
"""رئيس بازرسي كشور يه جوري ميگه اين ٥نفري كه #رانت واردات خودرو دستشون هست، تونستن ٥هزار خودرو وارد كنن"""" كه انگار قرار بوده بچه هاي #بسيج جلوي اين اقدام رو بگيرن و كوتاهي كردن #آقازاده #واردات_خودرو""""""",neg
هایه هایه ولی من جام جهانیایه طرفدار اسپانیایه,med
"خوش به حال شما که گیر #آلزایمر_سیاسی یین، من هنوز توو کف اینم چجور هم #عصر_حجری هستیم، هم #تازه_به_دوران_رسیده ؟ #روحانی #عصبانی #دلواپسان",neg
"خو ممنون کاکو، آقایی از خودتونه",pos
"و در گام بعد، اعدام چند نفر که سروش ندارن برای زهرچشم . https:// twitter.com/BacheGorbe/sta tus/996612734233038848 …",neg
مردم ميرن كنسرت ابي و شادمهر ما ميريم بيمارستان واكسن #هاري ميزنيم ! #عيد #سگ #گاز,neg
در ادامه توییت قبل سرخیش رفت بگو #مارمولک #کف_گرگی,neg
"دکتر حسن عباسی به اتهام #توهین به روحانی به 7 ماه حبس محکوم شد. حسابش را بکنید: اگر روحانی به اتهام توهین و افترا و تهمت به میلیون ها منتقد از جمله اساتید و صاحب نظران محاکمه شود، باید به چند صد سال حبس محکوم شود؟! #مزدور #جیب‌بر #بی‌دین #بزدل #مفسد #متوه",neg
سوال اینجاس چرا تو کشوری که واسه برخورد با روزه خوارا گشت و پلیس میذارن تو تلویزیونش باید برنامه آشپزی پخش بشه اونی ک تو تلویزیون میبینن دلشون نمیخواد؟؟؟ #تناقض #روزه_داری_اجباری و البته #تاسف,neg
"محبوبم مغزم اگر نترکد رو چشمم:** محبوبم یک‌عکس از قدیم پیداکردم، محبوبم چه جوانم، چه شادم :/",pos
"دیروز همه چهره واقعی #روحانی رو دیدن! یه آدم #دروغگو ، #عصبی و #بی_کارنامه #دروغ #تدبیر_و_کلید #روحانی #جهانگیری #قالیباف",neg
با انبوهی از پشم زیر بغل با یک رکابی در باشگاه با افتخار ورزش می کند و با وجود توالت سر پایی به توالت فرنگی میرود و آنجا سرپا میشاشد! #احمق,neg
"میترسم از موی سرت ،گُل رُز روی تنت میترسم وقتی دورت شلوغه از رُژ سرخ روی لبت",neg
در اين راستا اعلام كنم كه اگر فقط يك نفر هواخواه اصلاحات و انتخابات بماند اونم منم! حتى ممكنه بياد روزى كه خود خاتمى هم تَكرار نكنه و بگه تحريم ولى من پاى صندوق راى باشم. https:// twitter.com/thisisnazanin/ status/958416301814370304 …,pos
یه هذیان بزرگ مَنشی تو بچگی داشتم؛ فکر میکردم همه ادما درست شدن تا منو به طور هدفمند ازار بدن ولی بعدا فهمیدم هر ادمی آزار دهنده خاص خودشو داره,neg
این کسیه که میشه حدس زد پدر و مادرش وقتی برای اولین بار همو دیدن یه پولی بینشون رد و بدل شده #حرومزاده,neg
تو چي فك كردي با خودت فك كردي من ازوناشم دفعه ايي ديگه اسم مهريه رو نمياري بدم مياد انگار بهم توهين شده.من ميخوام خوشبخت شم همين,neg
"ای مالک: اگر امریکا مشت بزند ، ما لگد میزنیم #امام_خامنه_ای #دژمن #ديکتاتور #احمق",neg
یعنی هنوز شماها نفهمیدید روحانی چه شخصیت پوپولیست و عوام فریبی داره؟!!! حرفهایی میزنه که یک عده براش هورا بکشند!! بفهمید دیگه بابا جون. 100 سال دیگه میفهمید؟,neg
وقتی تو زندگیت به جایی رسیدی که انگیزه ای برای روشن کردن تلویزیون و دیدن بازی رئال رو نداشتی بدون بد باختی.. #ناامیدی #باران #تنهایی,neg
"کاملا با نادر موافقم ، خانواده‌ی گلستان(جز کاوه) جز ارث پدری هنری نداشت و چیزی هم برای این مملکت نکاشت و نذاشت https:// twitter.com/nfatourehchi/s tatus/1002213601799802881 …",neg
یه جورای بدی درده ببینی حقتو خوردن توی کوچه جلو چشمات ببینی بچتو بردن... اهای سالار افسانه تو میتونی و پامیشی به بغضت اعتقاد دارم یه روز آخر رها میشی... #ایران #کابوس #چهل_ساله #چالش_دعوت_به_تظاهرات,neg
ظاهرا عمرم به دنیا بود... #تصادف #خطر #بیهوشی,neg
تفاوت ملت بیدار و ملت در خوب #نه_به_کمیته_امداد #ياعلي #ایران #آخوند #گزارشگر #IranRegimeChange #گشت_نسبت #گشت_ارشاد #فوری #تجاوز_به_دانش‌آموزان #تجاوز #دشمن_ما_همینجاست #دیگه_تمومه_ماجرا #حق_طلبم #اسلام_آخوندی #منوتوخبر #محمدعلی_طاهری #محمد_ثلاث #دراویش_,neg
همش یکیه به هم تبدیل میشه ... سه پایه بزرگ و کوچیک - تک پایه و عصا و یه سری وسیله برای فیلم برداری و عکاسی رو دست,med
مومن دعوت حق تو شدم نفسم‌باز گرفته‌است در این شهر کسی نیست زاین مردم پرحیله هواخواه شما چه بگویم که اگر از تو بگویم عمری نتوانم بـرسـم تا به نـظـر گاه شما #احمد_الحسن #راه_حل_فقط_مهدی_است @AshaarAhmadi pic.twitter.com/f8enN8YRDl,pos
خبرا رسیده که دختر نتانیاهو بوده و حدود دو ماه پیش اومده ایران ضمنا نامبرده اصلا زن نبوده مردی 58 ساله با سابقه 5 ساله رهبری داعش #بی_شرف,neg
همزمان با پیشروی متجاوزان در امتداد ساحل غربی #یمن جنگنده‌های رژیم سعودی و همپیمانان بندر الحدیده را بمباران کردند. (برخی منابع مدعی شدند نیروهای مورد حمایت متجاوزان خود را به حدود ۴۰ کیلومتری بندر رسانده‌اند).,med
"""نظر سنجیها نشون میده شاخصها فلاکت در ایران اعداد خوبی نیستن اما حسی که مردم از فلاکت دارن به شدت بیشتر از آمار و ارقام در نظر سنجی ها هست . این """"حس فلاکت """" نتیجه پروپاگاندا شبانه روزی که در بستر فضای مجازی تشدید شده،توصیف غیر واقعی از وضعیت دنیا و امکانات رفاهی دیگر کشورها و.... https:// twitter.com/Khamenei_fa/st atus/1001167928790863872 …""",neg
"بنده خودم علاقمند به ایشان بودم و بعد از حمایتش از سلیمانی از نظرم افتاد. لکن جنس حمایت ایشان با حمایتِ امثال نواب صفوی و گلزار و رامبدجوان و مدیری فرق داره. ایشان نون به نرخ روزخور و چاپلوس نیست، به «اشتباه» معتقده که سپاه داره در سوریه کارهای خوبی «نیز» میکنه",neg
"از دلایل خطرناک بدون اسلام، اینکه اگه قدرت دست مسلمونا باشه؛ بقیه ی ادیان، دگراندیشان و حتی مسلمونای بی تفاوت رو اذیت و محدود می کنن. نمونه اش ماه رمضان در جمهوری اسلامی. قواعد دینِ بیخودشونو قاطیِ قوانین مدنی و اساسی کشور می کنن. #اسلام #مسلمان #خطر",neg
من از اون داستان اینقد وحشتزده شدم که دیگه میترسم.,neg
ديروزكه خودش روخيس كرده بودميگفت #اتحاد_ایران به ى روز نكشيده كه ماجراى #اسید_پاشی روبه #آتش_به_اختيار ربط داده براى زدن بچه ارزشى #دروغگو,neg
"ما فكر نميكرديم اينجوري ميشه، ما براي رسيدن به همچين روزايي انقلاب نكرديم! #نسل_سوخته",neg
مهم اینه با هر عقیده ای کنار هم زندگی کنیم و بهم احترام متقابل بذاریم...,pos
"حسن نیت شما بر کسی پوشیده نیست ، شما اجرتان را از شهدا خواهید گرفت",pos
نكنه اموزش تركيه رفتن هم سيستماتيك داره در مدارس تدريس ميشه كه ايشون اينجورى براشفتن ؟,med
قاطعیت ایشون در سینه پر از اسرارشون خلاصه میشه...!!! اصلا چه معنی داره معاون اول قوه قضائیه سینه‌ش پر اسرار باشه؟!! #تلخند,neg
